id,name,value,maxlife,tags,foodCommodities,rarity,foodPerMonth,desc,natural_death,icon,hullmod
gravcat,Гравикот,2200,1830,c_mammal,"IndEvo_pet_food, food, supplies, organs",1,1,"Генетически модифицированные кошки с почти сюрреалистической способностью цепляться за поверхности. Они ходят по стенам и потолкам и часто становятся игривыми спутниками космобродяг в долгих рейсах. Сколько стрелков промахнулось из-за внезапного нападения с потолка от гравикота - не счесть, но кто их за это осудит.",теперь счастливо охотится на гравимышей на бескрайней ферме Лудда.,graphics/pets/gravcat.png,IndEvo_petHullmod
phasecat,Фазовый кот,2200,1830,c_mammal,"IndEvo_pet_food, food, supplies, organs",0.8,1,"Гладкие черные кошки со светящимися глазами, способные на несколько секунд входить в фазу и сеять неописуемый хаос, куда бы ни забрели - а обычно это означает пройти прямо сквозь стену. Их часто считают талисманами удачи среди космических экипажей, якобы защищающими от ужасов бездны, а некоторые даже верят, что они видят будущее.",отправился стоять в вечной защите живых.,graphics/pets/phasecat.png,IndEvo_petHullmod
spacerat,Космокрыса,800,1460,c_mammal,"IndEvo_pet_food, food, supplies, organs",1.2,1,"Мелкие пушистые грызуны, которых часто держат как питомцев на станциях и кораблях. Они неприхотливы и способны выживать почти где угодно, что делает их популярным выбором среди космобродяг - а еще и едой, если дела пойдут совсем плохо. Окрас и рисунок шерсти полностью настраиваются.",была найдена без признаков жизни в своем домике.,graphics/pets/spacerat.png,IndEvo_petHullmod
lukasrat,Лунная крыса,800,1460,c_mammal,"IndEvo_pet_food, food, supplies, organs",1,1,"Довольно редкий грызун с бело-желтой окраской, способный на несколько секунд парить над землей. Обожает круглые предметы и пытается их преследовать, нередко подпрыгивая к лампочкам или окнам в попытке добраться до них. Лунным крысам нужно совсем немного воздуха, и они могут удивительно долго жить почти в вакууме.",отправилась вечно жить на сырной луне.,graphics/pets/lukasrat.png,IndEvo_petHullmod
dumbass_leopard,Леопард Караса,800,1095,c_mammal,"IndEvo_pet_food, food, supplies, organs",0.5,4,"Результат несанкционированного, хаотичного геномоддинга староземного снежного леопарда: эта гигантская кошка обладает прекрасной белоснежной шерстью с шелковистым блеском. Они агрессивны, глупы, требовательны к пище и среде обитания, потому держат их в основном маниакальные капитаны-отступники, а умирают они рано. И все же ценятся куда выше своей практической пользы как символ пиратской доблести и изобретательности.",с разбега влетел в стену и погиб.,graphics/pets/dumbass_leopard.png,IndEvo_petHullmod
schafunschaf,Овца пустоты,2200,1830,c_mammal,"IndEvo_pet_food, food, supplies",0.2,2,"Довольно редкий питомец, Овца пустоты известна своей необычной особенностью переставать существовать, когда за ней никто не наблюдает. Одежда из ее шерсти стоит целое состояние и очень ценится именно из-за редкости. Полные готовые комплекты достать крайне трудно, потому что они имеют привычку загадочно исчезать. Несмотря на свою непредсказуемость, Овца пустоты бесспорно пушиста и обаятельна, часто удивляя хозяев внезапными игривыми выходками.",внезапно исчезла и до сих пор так и не появилась снова.,graphics/pets/schafunschaf.png,IndEvo_petHullmod
captain,Бывший пиратский капитан,10,7665,"c_mammal, no_sell, no_drop","IndEvo_pet_food, food, supplies, organs",0,2,"Этот несчастный человек, некогда известный как капитан Перч, по-видимому, был первоначальным владельцем одного киберпопугая, ставшего пиратским лордом. У него заметны признаки заторможенности, чрезмерного слюнотечения и странных звериных вокализаций, вероятно из-за грубо удаленных голосовых имплантов. Точные подробности его состояния неясны, но шрамы на теле намекают на неудачную попытку спрятать крекеры прямо в мозгу. Любит мягкие булочки, собирать красивые - пусть и бесполезные - безделушки и жаться к флюкс-каналам.","скончался, прижавшись к отопительным вентиляциям.",graphics/pets/perch.png,IndEvo_petHullmod
gigabee,Гигапчела,1500,1460,c_insect,"IndEvo_pet_food, food, supplies",1,1,"Насекомое, напоминающее староземного шмеля, но с дружелюбным нравом и неприхотливым рационом. От предков его отличают две вещи: оно размером с кошку и не живет роями, вместо этого образуя стайные привязанности ко всем, кто окажется рядом. Исследования показывают, что при таком соотношении крыльев и тела гигапчела летать не должна - но летает, и за это ее любят еще сильнее.",улетела жужжать в рай.,graphics/pets/gigabee.png,IndEvo_petHullmod
vapourray,Паровой скат Кумари,1500,1830,c_fish,"IndEvo_pet_food, organics, supplies",1,2,"Эти величественные животные, напоминающие маленьких скатов, живут в верхних разреженных слоях атмосферы Кумари Ару. Они фильтраторы, питающиеся микроскопической живностью, похожей на криль, и легко приручаются лакомствами. Благодаря кроткому нраву и привычке к нулевой g считаются отличными корабельными питомцами.",уплыл в великую темную даль.,graphics/pets/vapourray.png,IndEvo_petHullmod
jungleshark,Джунглевая акула,3500,2190,c_fish,"IndEvo_pet_food, food, supplies, organs",0.3,5,"Очень активный хищник, обитающий на Джангале. Обычно считается опасным, но некоторые чудаки все равно ловят их и держат дома. Джунглевые акулы считаются деликатесом в высшем обществе Персеанской Лиги и Гегемонии, из-за чего и цена, и число желающих рискнуть жизнью ради поимки такой твари резко растут. Требуют много ухода и частого кормления.",отправилась в великие охотничьи угодья.,graphics/pets/jungleshark.png,IndEvo_petHullmod
huggerfish,Обнимашка-рыба,1500,1460,c_fish,"IndEvo_pet_food, organics, supplies",1,1,"Обнаруженное на окраинах Сектора при рутинном сканировании заранее заселенного водного мира, это странное существо эволюционировало от рыбы-фугу, но, похоже, потеряло фирменные шипы. Сначала их брали себе тоскующие космобродяги ради смеха, но дружелюбие и привычка раздуваться от счастья привели к беспрецедентному распространению этих питомцев среди звезд.",теперь ее обнимают тысяча детей в великом загробье.,graphics/pets/huggerfish.png,IndEvo_petHullmod
lober,Имперский мегалобстер,3500,2190,c_fish,"IndEvo_pet_food, food, supplies",0.5,3,"Требовательный, размером с кошку, ярко-пурпурный вольтурнийский лобстер, выведенный в рамках искусственной селекционной программы. Умнее средней собаки и куда общительнее обычного лобстера; по слухам, первых таких существ создали для слегка тронутого патриарха топливного конгломерата в ходе одной пари. Считаются частью природного наследия Волтурна, поэтому за владельцами следят, а смерти расследует специальное подразделение компании.","был найден без признаков жизни. Бюро расследований прислало грозное письмо, но дальше не пошло.",graphics/pets/lober.png,IndEvo_petHullmod
agravifish,Антигравимедуза,1500,1460,c_fish,"IndEvo_pet_food, food, supplies",0.9,1,"Ее название - сокращение от ""антигравитационная медуза"". Встречается только в продвинутых космических средах обитания или у чрезвычайно богатых капитанов и ценится за иномирную красоту и способность без усилий парить в воздухе. Длинными тонкими щупальцами хватает предметы - или головы ничего не подозревающих космобродяг. Держать под рукой противоядие обычно разумная идея.",уплыла к следующему витку жизни.,graphics/pets/agravifish.png,IndEvo_petHullmod
aristocrats,Мазалотийская золотая рыбка,800,1095,c_fish,"IndEvo_pet_food, food, supplies",1.2,1,"Ярко окрашенные тропические рыбы, родом из знаменитого водного мира Персеанской Лиги. Космопутешественники любят держать их в маленьких аквариумах за красоту, хотя без нормального кормления они умирают быстро. Их название стало синонимом аристократии, которая это прозвище ненавидит всей душой.",не получила еды всего один день и умерла.,graphics/pets/aristocrats.png,IndEvo_petHullmod
swearingcrab,Сквернословный ракообразный,800,1460,c_fish,"IndEvo_pet_food, food, supplies",1,1,"Что получится, если кучка скучающих солдат доберется до переносного комплекта генетического редактирования? Матерящийся краб. Буквально. Силой чудовищно переоцененной самоуверенности этим ракообразным дали и способность имитировать человеческую речь, и огромный словарь ругательств. Большинство притворяется, что это не смешно. Массовое распространение говорит об обратном. В основном матом.","ДА ПОШЕЛ ТЫ, КУПИ СЕБЕ ДРУГОГО",graphics/pets/swearingcrab.png,IndEvo_petHullmod
cyberparrot,Киберпопугай,2200,2190,c_bird,"IndEvo_pet_food, food, IndEvo_parts, supplies",0.8,1,"Эти яркие и пугающе умные попугаи усилены кибернетическими имплантами, из-за чего их интеллект нередко превосходит интеллект хозяев. Их любят технические энтузиасты, а космические инженеры и механики часто держат таких птиц как одновременно питомца и помощника. Особенно популярна история о капитане, проигравшем мятеж против собственного киберпопугая, после чего тот сделал блестящую карьеру пиратского лорда.",теперь продолжает копаться в механизмах в гиперраю.,graphics/pets/cyberparrot.png,IndEvo_petHullmod
salvageraven,Падальный ворон,2200,1830,c_bird,"IndEvo_pet_food, food, supplies",1,1,"Потомки древних земных птиц, эти зоркие черноперые вредители испытывают неутолимую жажду ко всему блестящему. Неприрученные особи - кошмар любого механика, но обученные умеют с удивительной точностью сортировать трофеи и инструменты, заметно ускоряя уборку, пусть некоторые предметы время от времени и пропадают. Прозвище у них - ""второй лучший друг инженера"". Первое место, как и испокон веков, занимает молоток.",отправился воровать безделушки у Лудда.,graphics/pets/salvageraven.png,IndEvo_petHullmod
hullchicken,Корпусная курица,1500,1460,c_bird,"IndEvo_pet_food, food, metals, supplies",1.5,1,"Корпусные курицы получили имя за привычку вить гнезда в броневых переборках. Они эволюционировали так, чтобы подбирать железный лом и прочий металлический мусор в дополнение к обычному рациону, откладывая яйца с жесткой металлической скорлупой, способной пережить полет в нулевой g и удар, когда гравигенераторы снова включаются. Их малый размер и скромные потребности в ресурсах делают их идеальными и неожиданно ласковыми питомцами для жителей тесных отсеков.",теперь вьет гнезда в великом загробье.,graphics/pets/hullchicken.png,IndEvo_petHullmod
slaghound,Шлаковая гончая,7500,7665,c_alien,"IndEvo_pet_food, ore, rare_ore, metals, rare_metals, IndEvo_parts, heavy_machinery",0.1,5,"То, что выглядит как подвижная куча камней, на деле разумное животное с ленивым и спокойным нравом. Чрезвычайно высокая внутренняя температура и рацион из угля, руды и металла дали им имя и сделали идеальными спутниками падальщиков и сборщиков трофеев, которые держат их как живые мусоросжигатели. Шлаковые гончие никогда не прекращают расти и считаются функционально бессмертными - из-за чего многие в итоге становятся непреднамеренными астероидами, когда их звездное убежище гибнет раньше срока.","стала слишком большой даже для крупнейшего ангара, и ее пришлось выбросить с корабля. Перед отправкой ей дали любимые сплавы и вдоволь погладили. Траектория со временем приведет ее на богатую металлами планету.",graphics/pets/slaghound.png,IndEvo_petHullmod
goopuppies,Слизещенок,7500,7665,c_alien,"IndEvo_pet_food, food, volatiles, organics, supplies, organs",0.1,3,"Небольшие аморфные существа, любящие принимать форму, напоминающую щенков. Они игривы, ласковы и способны лепить себя в самые разные формы и размеры. Едят вообще все - от запасной электроники до частей тела - и почти всегда получают постоянную работу в камбузе.",стал нестабилен от старости и растекся во сне. Экипаж устроил поминки и подавал желейные шоты.,graphics/pets/slimedog.png,IndEvo_petHullmod
voidsquid,Астральный кальмар,7500,7665,c_alien,"IndEvo_pet_food, food, supplies, organs",0.1,4,"Небольшие стайки космических существ размером с истребитель, подозрительно похожих на обычных земных кальмаров. Они охотятся из засад и питаются падалью в верхних слоях атмосферы планет. Исключительно умны - многие считают их умнее среднего морпеха, - и их можно натренировать вытаскивать потерявшихся членов экипажа из космоса в обмен на еду. Comsec яростно отрицает слухи об Астральном Кракене, чем только укрепляет веру космобродяг в его реальность.","ушел из вашего флота в глубокий космос, чтобы спокойно умереть. В качестве прощального дара оставил кучу неопознанного мяса. Вы устроили пир в его честь, и после этого заболели всего несколько членов экипажа.",graphics/pets/squiddy.png,IndEvo_petHullmod
kaysaar,Пепельный кот,3000,1825,c_mech,"IndEvo_pet_food, food, supplies, organs",0.3,1,"Похожие на черно-серых кошек, эти существа появились, когда носитель нанитов прицепился к обычному домашнему коту как вирус. Они осыпают все вокруг мертвыми нанитами, за что и получили свое имя, становясь кошмаром для техников по обслуживанию фильтров. Считаются редкими и живут дольше обычных собратьев, потому что наниты постепенно заменяют их биологическое тело.","рассыпался в пепел, когда нанитная болезнь вытеснила последние живые части его тела.",graphics/pets/kaysaar.png,IndEvo_petHullmod
balloon,Блобфиш,800,1460,c_fish,"IndEvo_pet_food, food, supplies",0.6,1,"Блобфиши не имеют ничего общего со своими староземными тезками. Это странное, созданное в лаборатории наземное существо из категории ""наверное, рыба"", которое раздувается, когда напугано, не напугано, голодно или скучает, становясь больше с каждым разом. С возрастом ткань теряет упругость, и они начинают выглядеть как старые обвисшие мешки. Самая частая причина смерти: ребенок с иголкой.",надулся как шарик и лопнул. Никого это особенно не удивило.,graphics/pets/blob.png,IndEvo_petHullmod
lordandsaviour,Лорд Фуг Вторст,14000,2190,"c_mammal, no_sell, no_drop","IndEvo_pet_food, food, supplies, organs",0,2,"Полное название вида на самом деле звучит как ""Его Величество Великий Защитник Лорд Фуг Вторст, Регент Теоретический"". Выведенные из древней линии борзых, они существуют одновременно только в трех экземплярах - 1st, 2st и 3st, - чтобы популяция оставалась стабильной и как следует инбредной. Эти собаки обладают психическими силами, мощь которых зависит от длины носа, и невероятной меткостью, что делает их реальной угрозой в бою - если, конечно, вручить им кремневый мушкет. Согласно законам Персеанской Лиги, только борзые Лорда Фуга имеют право владеть землей, и у них есть обширные активы по всему Мазалоту.","скончался от старости. В его честь провели государственные похороны, и после обязательного траура его похоронят в фамильной усыпальнице.",graphics/pets/lordandsaviour.png,IndEvo_petHullmod
giganticcats_roomba,Древний румба,1000,1830,c_mech,"IndEvo_pet_food, IndEvo_parts, heavy_machinery, supplies",0.6,2,"Отделение Tri-Tachyon, сохранившееся в Персеанском секторе, - лишь крохотная часть гигантской корпорации, которая когда-то производила все подряд: от продвинутого ИИ до бытовой техники. От последней остались лишь разбросанные реликты. Этот экземпляр - один из них: автоматический пылесос-бот, предназначенный для уборки корабельных коридоров. Верный корпоративным традициям, он почти разумен и получается превосходным питомцем - более того, умеет играть в ""апорт"", если бросать достаточно грязный мяч, чтобы сработали сенсоры очистки.","врезался в стену и окончательно сломался. Вопрос времени, в общем-то.",graphics/pets/roomba.png,IndEvo_petHullmod
paranautic_gebb,Терраформирующий дрон,2200,2190,c_mech,"IndEvo_pet_food, IndEvo_parts, heavy_machinery, supplies",0.3,2,"Eridani-Utopia на пике своей мощи умела превращать бесплодный камень в рай. Однако условия труда на объектах терраформирования были совсем не райскими, и потому появилась целая россыпь разных дронов, способных взять на себя эти тяжкие работы. Перед вами один из уцелевших представителей той золотой эпохи - General Environmental Bioengineering Bot. Он не слишком умен, умеет играть в шахматы и ухаживать за комнатными растениями - только держите его подальше от корабельной гидропоники.","выработал внутреннее топливо и отключился, превратившись в очень дорогой горшок для цветов - именно так, как ему бы и хотелось.",graphics/pets/drone.png,IndEvo_petHullmod
felcaster_otter,Оддер,1500,1460,c_alien,"IndEvo_pet_food, food, supplies, organs",0.5,1,"Странный зверек, похожий на выдру и, вероятно, специально выведенный для жизни на корабле. Он вступает в симбиоз с искусственным многоклеточным организмом, чтобы компенсировать проблемы, которые иначе возникали бы у него в условиях нулевой g: улучшает навигацию и восприятие и избавляется от необходимости в водной среде. Говоря проще, оддеры - это выдры со светящимися щупальцами из спины. И все равно они достаточно милы, чтобы держать их как питомцев, пока те носятся по коридорам и играют с лампами кают.","уплыл в бесконечную космическую пустоту, радостно махая щупальцами всю дорогу.",graphics/pets/oddestotter.png,IndEvo_petHullmod
mipacem7_souljar,Свет в банке,2200,1830,c_alien,"IndEvo_pet_food, volatiles, supplies",0.4,1,"Это свет в банке. Не совсем, но почти. Ближайший родственник - амеба, хотя амебы обычно не умеют складываться сами в себя и не излучают видимый свет. Эта штука умеет и то и другое, и все ее обожают. Обычно они самопроизвольно возникают во время долгих перелетов через гиперпространство, после чего их можно поймать в вакуумную банку, где они будут плавать, меняя цвет и размер при столкновении со стеклом. Космические байки утверждают, будто это души экипажников, погибших в гипере, но это, конечно, суеверие. Наверное.","внезапно исчез, оставив после себя пустую банку. Куда же он делся?",graphics/pets/souljar.png,IndEvo_petHullmod
