id,name,cost mult,build time,income,upkeep,downgrade,upgrade,tags,data,image,plugin,desc,order,disruptDanger
IndEvo_Ruins,Старые промышленные руины,0,0,,0,,,"structure, unraidable, no_saturation_bombardment, do_not_show_in_build_dialog, codex_unlockable, IndEvo_showDeconstructWarning",,graphics/industry/derelict.png,indevo.industries.derelicts.industry.Ruins,"Древние разрушенные промышленные комплексы разбросаны по ландшафту этого мира. Их происхождение и создатели неизвестны, но по виду они относятся к доколлапсной эпохе.

Возможно, их удастся восстановить до рабочего состояния.",500,
IndEvo_RuinedInfra,Разрушенная инфраструктура,0,0,,0,,IndEvo_ChamelionIndustry,"structure, unraidable, no_saturation_bombardment, do_not_show_in_build_dialog, codex_unlockable",,graphics/industry/industrialRuins.png,indevo.industries.ruinfra.industry.RuinedInfrastructure,"Среди руин, покрывающих этот мир, разбросана старая сломанная промышленная инфраструктура. Удивительно, но ключевые ее части, похоже, еще пригодны к ремонту.

Возможно, ее удастся восстановить до рабочего состояния.",500,
,,,,,,,,,,,,,,
#Flavour,,,,,,,,,,,,,,
IndEvo_BaseFlavourInd,Символы мира,,,,,,,"flavor, parent_item, structure, unraidable",flavor,graphics/industry/flavour/palace_light.png,indevo.industries.worldwonder.industry.WorldWonder,"Человечество создает чудеса с самого зарождения архитектуры - то величием масштаба, то силой смысла. Сооружения этой группы представляют именно такие усилия, символы воли и стойкости в умирающем секторе.",110,
IndEvo_LightPalace,Современный дворец,100,90,,10,,,"flavor, sub_item, structure, unraidable",palace_light_2,graphics/industry/flavour/palace_light.png,indevo.industries.worldwonder.industry.WorldWonder,"Роскошный, светлый, современный дворец, построенный с учетом каждого известного человеку удобства. Этот невероятно дорогой комплекс и не предназначен приносить пользу простому населению, но все равно внушает восхищение и надежду на лучшее будущее каждому, кому посчастливилось родиться на планете, способной содержать такое чудо.

Снижает недавние беспорядки на этой планете на один пункт в месяц и повышает стабильность всех планет системы на 1.",110,
IndEvo_DarkPalace,Темный дворец,100,90,,10,,,"flavor, sub_item, structure, unraidable",,graphics/industry/flavour/palace_dark.png,indevo.industries.worldwonder.industry.WorldWonder,"Темный, почти гнетущий дворец, построенный в современной интерпретации готической архитектуры. Этот чрезвычайно дорогой комплекс не создан ради пользы кого-либо, кроме верхушки общества, но все равно внушает благоговение каждому, кому посчастливилось жить рядом с подобной расточительностью, - и достаточно страха, чтобы молчали все, кто думает иначе.

Снижает недавние беспорядки на этой планете на один пункт в месяц и повышает стабильность всех планет системы на 1.",110,
IndEvo_Memorial,Мемориал,100,90,,10,,,"flavor, sub_item, structure, unraidable",,graphics/industry/flavour/memorial.png,indevo.industries.worldwonder.industry.WorldWonder,"Мемориал размером с небольшую страну. Это высшая форма памяти - дань событию или человеку, рассчитанная на века. Люди со всего сектора приезжают сюда, чтобы отдать почести и вспомнить.

Снижает недавние беспорядки на этой планете на один пункт в месяц и повышает стабильность всех планет системы на 1.",110,
IndEvo_LeisureOrbitals,Орбитальные зоны отдыха,100,90,,10,,,"flavor, sub_item, structure, unraidable",,graphics/industry/flavour/leisure_orbitals.png,indevo.industries.worldwonder.industry.WorldWonder,"Если и существует зрелище, которое стоит увидеть до неизбежного конца, то орбита $marketName определенно подходит под это описание. Тысячи огромных, ярких и пестрых станций висят на орбите, каждая пытается перещеголять соседей роскошью. Здесь можно купить, испытать или проиграть что угодно, и даже короткий визит оставит незабываемые впечатления.

Снижает недавние беспорядки на этой планете на один пункт в месяц и повышает стабильность всех планет системы на 1.",110,
IndEvo_Megachurch,Собор,100,90,,10,,,"flavor, sub_item, structure, unraidable",kadur_megachurch,graphics/industry/flavour/megachurch.png,indevo.industries.worldwonder.industry.WorldWonder,"Дети Земли, независимо от происхождения и убеждений, всегда нуждались во что-то верить и всегда возводили памятники, чтобы подтвердить свои убеждения. Этот огромный собор - одна из таких попыток, но, пожалуй, самая амбициозная за последнее время: гигантский комплекс мегасооружений, построенный лишь ради распространения догматов господствующей религии.

Снижает недавние беспорядки на этой планете на один пункт в месяц и повышает стабильность всех планет системы на 1.",110,
IndEvo_IcePalace,Ледяной дворец,100,90,,10,,,"flavor, sub_item, structure, unraidable",,graphics/industry/flavour/ice_palace.png,indevo.industries.worldwonder.industry.IcePalace,"Снаружи этот сверкающий дворец построен из льда и снега и выглядит так, будто его перенесли прямо из сказки. Его содержание - колоссальная задача, требующая множества различных специалистов. Хотя вход для широкой публики закрыт, одно только присутствие этого архитектурного чуда внушает гордость жителям $marketName - мало кто может похвастаться, что живет рядом с замком из мечты.

Снижает недавние беспорядки на этой планете на один пункт в месяц и повышает стабильность всех планет системы на 1.",110,
IndEvo_LavaFortress,Лавовая крепость,100,90,,10,,,"flavor, sub_item, structure, unraidable",,graphics/industry/flavour/lava_fortress.png,indevo.industries.worldwonder.industry.LavaFortress,"Массивные ониксовые стены и каналы, наполненные расплавленной породой, украшают эту громадную неоготическую крепость. Практической пользы в обороне от нее немного, а внутренние помещения больше подходят для государственных приемов, чем для военной подготовки, но впечатляет она все равно невероятно. К тому же здесь есть лавопад. Для большинства этого достаточно, чтобы оправдать расходы на содержание.

Снижает недавние беспорядки на этой планете на один пункт в месяц и повышает стабильность всех планет системы на 1.",110,
IndEvo_LifeTree,Древо жизни,100,90,,10,,,"flavor, sub_item, structure, unraidable",,graphics/industry/flavour/tree_of_life.png,indevo.industries.worldwonder.industry.WorldTree,"Много столетий назад вторая восстановительная флотилия Доминиона случайно наткнулась на обитаемую планету, где вся жизнь была представлена одним-единственным деревом, чья крона пронзала облака. Согласно записям, инопланетные бактерии слились с саженцем секвойи и стремительно выросли до титанических размеров, одновременно сформировав мицелиеподобную сеть, связывавшую всю жизнь на планете. Технически людей там так и не встретили.

Перед вами стерилизованный клон того дерева - и зрелище это поистине незабываемое.

Снижает недавние беспорядки на этой планете на один пункт в месяц и повышает стабильность всех планет системы на 1. Может повлиять на местную фауну.",110,
IndEvo_CloudPainter,Художник облаков,100,90,,10,,,"flavor, sub_item, structure, unraidable",,graphics/industry/flavour/cloud_painter.png,indevo.industries.worldwonder.industry.CloudPainter,"Технологический прогресс в терраформировании и управлении погодой породил множество бесполезных, но впечатляющих применений. Среди них роспись облаков считается вершиной расточительной роскоши.

Сеть башен, охватывающая всю планету и пожирающая больше энергии, чем большинство индустрий, впрыскивает в атмосферу нанокомпоненты, окрашивая и формируя паровые массы в формы из сна; это буквально детская мечта, ставшая явью.

Снижает недавние беспорядки на этой планете на один пункт в месяц и повышает стабильность всех планет системы на 1. Позволяет управлять текстурой облаков.",110,
,,,,,,,,,,,,,,
#Rebalancing,,,,,,,,,,,,,,
commerce,Торговый центр,90,90,,3,,,"industry, urban",,graphics/icons/industry/commerce.png,indevo.industries.TradeCenter,"Регулирование, субсидии и инфраструктура, стимулирующие процветающую независимую торговлю. Сильно снижает степень прямого контроля администрации над колонией.",1950,MEDIUM
