name,id,tier,rarity,tech/manufacturer,tags,uiTags,base value,unlocked,hidden,hiddenEverywhere,cost_frigate,cost_dest,cost_cruiser,cost_capital,script,desc,short,sModDesc,sprite
Ударный пакет,sotf_aux_shock,,,Dustkeeper Proxies,codex_unlockable,,,,TRUE,,0,0,0,0,data.hullmods.SotfAuxShock,"Этот дрон прошёл глубокую модификацию и превращён в жертвенное ударное оружие, скорее в автономную энергетическую бомбу, чем в боевой корабль.

При достижении максимального потока или падении прочности ниже %s реактор дрона запускает последовательность самоподрыва. Это отключает все предохранители (по аналогии с корпусным модом %s) и заставляет дрон испускать пробивающие щиты ЭМИ-дуги по ближайшим целям, при этом повреждая самого себя.

При уничтожении дрон взрывается, нанося %s энергетического урона в широком радиусе. У всех кораблей, задетых взрывом, поток увеличивается на %s от их ёмкости нагрузки, поровну распределяясь между мягким и жёсткой нагрузкой, и они получают тяжёлые ЭМИ-повреждения.","Летит к противнику, ведет огонь, затем применяет ЭМИ и взрывается.",,graphics/hullmods/sotf_proxy_shock.png
Набор кибервойны,sotf_cwarsuite,,,Dustkeeper Contingency,codex_unlockable,,,,TRUE,,0,0,0,0,data.hullmods.SotfCyberwarfareSuite,"Этот корабль оснащён обширным комплексом вычислительных массивов и систем радиоэлектронной борьбы, предназначенных для взлома вражеских сетей и проведения кибератак.",Повышает эффективность и снижает перезарядку навыка «Протоколы кибервойны».,,graphics/hullmods/distributed_fire_control.png
,,,,,,,,,,,,,,,,,,,
# DREAMING GESTALT,,,,,,,,,,,,,,,,,,,
Синтезатор грез,sotf_daydream_synthesizer,3,0,Dreaming Gestalt,"req_spaceport, special, no_build_in, no_drop, no_drop_salvage,  codex_unlockable, restricted","Special, Requires Dock",,,,,8,16,30,50,data.hullmods.SotfDaydreamSynthesizer,<Описание задаётся в скрипте>,Рой нанитов создает копию корабля в начале боя.,,graphics/hullmods/sotf_daydream_synthesizer.png
Инженерия систем грез,sotf_daydreamhull,,,Cult of the Daydream,codex_require_related,,,,TRUE,,0,0,0,0,data.hullmods.SotfDaydreamHull,"Разработанный в рамках загадочной программы экзотической войны, предназначенной для борьбы с внепространственными угрозами, этот корпус использует специализированные алгоритмы настройки полей, чтобы ослаблять некоторые вредные явления и эманации.

Снижает энергетический урон по щитам на %s. Уменьшает шанс пробития щитов оружием вроде Ion Beam на %s. Снижает получаемый ЭМИ-урон на %s. Для истребителей эти бонусы составляют %s.

Кроме того, %s длительность некоторых эффектов нарушения реальности, которые продлевают ремонт оружия и двигателей.",Снижает энергетический урон по щитам. Устойчив к ЭМИ и искажениям реальности.,,graphics/hullmods/sotf_daydreamhull.png
Синтезирован нанитами,sotf_nanite_synthesized,,,Dreaming Gestalt,codex_require_related,,,,TRUE,,0,0,0,0,data.hullmods.SotfNaniteSynthesized,"Имитируя структуру и системы боевого корабля, это судно на деле представляет собой синхронизированный рой наномашин умеренной воли.

Корабли, синтезированные нанитами, не могут иметь перехваченное управление, поскольку ручного управления у них нет; восприятие роевого сознания устойчиво к психическим воздействиям, а атаки РЭБ способны лишь отключать или нарушать отдельные кластеры нанитов, но не захватывать полный контроль.

Когда прочность корпуса падает до нуля, наниты теряют когезию и рассеиваются, не оставляя обломков.",Корабль синтезирован роем нанитов.,,graphics/hullmods/sotf_nanitesynthesized.png
,,,,,,,,,,,,,,,,,,,
Элитные пилоты,sotf_elitepilots,,,,,,,,TRUE,TRUE,0,0,0,0,data.hullmods.SotfElitePilots,"Пилот этого истребителя исключительно опытен и получает бонусы неэлитных навыков «Мастер пилотажа», «Смягчение удара» и «Импланты наводчика».",Исключительно умелый пилот истребителя.,,graphics/hullmods/assault_package.png
,,,,,,,,,,,,,,,,,,,
Нельзя стравливать,sotf_noventing,,,,,,,,TRUE,TRUE,0,0,0,0,data.hullmods.SotfNoVenting,Невозможно сбрасывать поток.,Нельзя стравливать поток.,,graphics/hullmods/flux_coil_adjunct.png
Потускневшие истребители,sotf_fighteroverlay,,,,,,,,TRUE,TRUE,0,0,0,0,data.hullmods.SotfFighterOverlay,Применяет оверлей d-корпуса к выпускаемым истребителям.,На истребителях есть оверлей.,,graphics/hullmods/flux_coil_adjunct.png
Рой «Волиция»,sotf_volitionswarm,,,,,,,,TRUE,TRUE,0,0,0,0,data.hullmods.SotfVolitionSwarm,Этот корабль является волевым роем.,Рой «Волиция».,,
Фантасмальный,sotf_phantasmalship,,,,,,,,TRUE,TRUE,0,0,0,0,data.hullmods.SotfPhantasmalShip,"Связан с соседними реальностями. Как убить то, чего не существует?","Нельзя убить, только изгнать.",,
Смотритель огоньков,sotf_wisptender,,,,,,,,TRUE,TRUE,0,0,0,0,data.hullmods.SotfWisptender,Это существо зовёт огоньки и приглашает их танцевать.,Гибель истребителей пробуждает огоньки.,,
Цветение огоньков,sotf_wispblossom,,,,,,,,TRUE,TRUE,0,0,0,0,data.hullmods.SotfWispblossom,"Это существо достойно уходит, приглашая огонёк занять его место.",Создает огоньки при гибели.,,
Огонек,sotf_wisphullmod,,,,,,,,TRUE,TRUE,0,0,0,0,data.hullmods.SotfWispHullmod,Это существо слышит наш зов.,Этот корабль - огонек.,,
Суперкомпьютер наведения,sotf_pdsupercomputer,,,,codex_require_related,,,,TRUE,,0,0,0,0,data.hullmods.SotfPDSupercomputer,"Увеличивает дальность баллистического и энергетического оружия на %s.

Также повышает точность упреждения цели и значительно увеличивает дальность боевых сенсоров.",Сильно увеличивает дальность немиссионного вооружения.,,graphics/hullmods/targeting_supercomputer.png
