id,type,text1,text2,text3,notes,
dpl_missileoverload,SHIP_SYSTEM,"На короткое время повышает урон и поток всех ракетных систем. Фазо-кавернный массив хранит несколько зарядов, которые медленно восстанавливаются.",Наступательное,Ненадолго повышает урон и поток всех ракетных систем.,,
dpl_plasmajets,SHIP_SYSTEM,"Даёт кратковременный, но экстремальный прирост максимальной скорости и небольшой бонус к маневренности.",Маневр,"Даёт кратковременный, но экстремальный прирост максимальной скорости и небольшой бонус к маневренности.",,
dpl_fast_replacement,SHIP_SYSTEM,Генерирует некоторое количество потока и позволяет производственной линии дроны фазового разрыва быстро воспроизвести все дроны за короткое время.,,,,
dpl_drone_drive,SHIP_SYSTEM,Значительно повышает максимальную скорость всех дронов.,,,,
dpl_plasma_inducer,SHIP_SYSTEM,"Высвобождает все моты, хранящиеся на этом корабле.",,,,
dpl_plasma_coupling,SHIP_SYSTEM,На короткое время повышает энергетический урон корабля от минимума 30% до максимума 80%. Фактический процент растет с уровнем нагрузки корабля.,,,,
dpl_plasma_recharger,SHIP_SYSTEM,Мгновенно сокращает время перезарядки лучевого оружия этого корабля от минимума 1 секунды до максимума 6 секунд. Фактическое сокращение растет с уровнем нагрузки корабля. Можно использовать только когда лучевое оружие не ведет огонь.,,,,
dpl_plasma_injector,SHIP_SYSTEM,"Даёт кратковременный, но экстремальный прирост максимальной скорости и небольшой бонус к маневренности. Фактический бонус зависит от уровня нагрузки корабля.",,,,
dpl_mote_launcher,SHIP_SYSTEM,"Высвобождает все моты, хранящиеся на этом корабле. Если у цели есть плазменные потенциалы, моты мгновенно регенерируют при попадании. При 2 слоях плазменных потенциалов каждый мот наносит щитам 2x урона при попадании в щит. При 3 слоях каждый мот наносит 2x урона корпусу и броне при попадании в корпус. При 4 слоях каждый мот при попадании по цели порождает 1 дополнительный мот.",,,,
dpl_experimental_weapon,SHIP_SYSTEM,"Открывает огонь встроенной прототипной системой Лонгин. Сначала орудие заряжается, в течение 4 секунд испуская дуги плазменной молнии и уничтожая рядом снаряды, ракеты, истребители и дроны. Затем система выпускает импульсный плазменный луч дальностью 2000, наносящий около 2500 ед. энергетического урона и 1000 ед. ЭМИ-урона, а также периодически бьющий дугами по оружию и двигателям с вероятностью, пропорциональной жёсткому потоку цели. Каждая дуга наносит около 300 ед. ОФ-урона и 250 ед. ЭМИ-урона.",,,,
dpl_emp_suppression,SHIP_SYSTEM,"Кратковременно излучает высокоэнергетические сфокусированные ЭМИ-волны, подавляющие дальность стрельбы цели.",,,,
dpl_graviton_projection,SHIP_SYSTEM,"Кратковременно излучает плотные кластеры гравитонов, значительно замедляющие всех врагов рядом с целью.",,,,
dpl_phase_encapsulation,SHIP_SYSTEM,"Кратковременно втягивает вражеский корабль в фазовое пространство. Пока цель находится в фазе, и цель, и носитель генерируют мягкую нагрузку со скоростью, пропорциональной сумме их максимального потока. Если цель начинает сброс нагрузки, она немедленно выходит из фазы, и генерация мягкой нагрузки прекращается.",,,,
dpl_lay_mines,SHIP_SYSTEM,Телепортирует группу антиматериальных зарядов в область рядом с кораблем.,,,,
dpl_emergency_deployment,SHIP_SYSTEM,"Развертывает по 1 дополнительному крылу для каждой эскадрильи на этом корабле, если это крыло Фазовая лаборатория Домена и не дрон фазового разрыва.",,,,
,,,,,,
dpl_matcha,RESOURCE,"Тонко измельченный порошок из молодых свежих чайных листьев. Очень традиционное лакомство, которое можно изготовить только вручную. Считается, что вкус у него экзотичный и изысканный.",,,,
,,,,,,
dpl_tremolo,WEAPON,"Выпускает смертоносные гамма-лучи по вражеским целям. Тремоло — одно из самых разрушительных орудий своего размера против незащищённых щитом целей.

Тремоло — встроенная экспериментальная оружейная система, разработанная как развитие gamma blaster.

Фазовая лаборатория обнаружила, что позитроний (структура, похожая на атом водорода, где электрон и его античастица — позитрон — вращаются друг вокруг друга) может существовать в виде кристаллов в фазовом пространстве; такой кристалл можно получить, поместив организованные частицы позитрония в фазовое пространство.

Когда фазовое пространство «схлопывается», а по кристаллу позитрония бьет внешний лазер, возникает интенсивное гамма-излучение. Так появился Тремоло: gamma blaster без ограничения боезапаса, но с немного более медленной перезарядкой.",,,,
dpl_trebel,WEAPON,"Требель — встроенная экспериментальная оружейная система, вдохновленная концепцией «энергетической торпеды».

Фазовое пространство обладает свойством потоковой изоляции, и Фазовая лаборатория увидела в этом возможность: если удерживать пузырь в фазовом пространстве и «вжать» в него максимально возможную энергию, то при дестабилизации пузыря высвобожденная изолированная энергия может быть столь же смертоносна, как торпеда Reaper.

Эта идея привела к технологии «phase compression», а Требель стал её результатом — смертоносной, воспроизводимой энергетической торпедой с малой дальностью.",,,,
,,,,,,
dpl_gamma_blaster,WEAPON,"Медленно стреляющее энергетическое лучевое орудие с чрезвычайно высоким уроном, предназначенное для испарения самой прочной брони. Эффективно только на ближней дистанции.

Gamma Blaster — первая переносная оружейная система Фазовая лаборатория, разработанная с новой конструкцией спирального ускорителя. Для нее применены продвинутые гибкие магнитные пластины и энергоинтерфейсная арматура; эффективность ускорителя более чем в десять раз выше старых схем.",,,,
dpl_graviton_lance,WEAPON,"Нетипичное импульсное лучевое оружие, крайне эффективное против щитов: дестабилизирует их и увеличивает получаемый урон из всех источников.

Гравитонное копье — переносная система вооружения Фазовая лаборатория. За счет экспериментов с гравитонными лучевыми технологиями инженеры получили стабильное средство для борьбы с тяжелой щитовой защитой.",,,,
dpl_plasma_lance,WEAPON,"Луч среднего радиуса и короткой длительности, наносящий мощный урон импульсом. Особенно эффективен против брони на своей дистанции.

Плазменное копье — переносная оружейная система, созданная на основе исследований нестабильных плазменных волн. Во время импульса она формирует плотный поток высокотемпературной плазмы, пробивающий большинство бронеконтуров.",,,,
dpl_siren,WEAPON,"Сирена — DEM-ракета, выпускающая гамма-излучение. Надежное оружие с высоким импульсным уроном.

Главная сложность этой конструкции — хранение высококонцентрированных электронов и их быстрый выпуск в защищенной ракете. Серийную схему довели до стабильности, после чего Сирена стала стандартным специальным боеприпасом флота Фазовая лаборатория.",,,,
dpl_phonograph,WEAPON,"Ракетный модуль с самонаведением: средняя дальность и средний боезапас. Хорошо работает как по щитам, так и по корпусу.

Внешний пусковой блок заменяет привычные шахты и позволяет быстро выпустить 2 ракеты Граммофон. Решение ориентировано на компактные корабли с ограниченным внутренним объемом.",,,,
dpl_stdphonograph,WEAPON,"Ракетный модуль с самонаведением: средняя дальность и средний боезапас. Хорошо работает как по щитам, так и по корпусу.

Внешний пусковой блок заменяет привычные шахты и позволяет выпустить 8 ракет Граммофон. Стандартная версия используется на большинстве строевых носителей этой серии.",,,,
dpl_phonographair,WEAPON,Неизвестное опасное оружие без доступной информации о производстве.,,,,
dpl_gramophoneair,WEAPON,Неизвестное опасное оружие без доступной информации о производстве.,,,,
dpl_gramophone,WEAPON,"Наводится на двигатели цели и наносит по ним энергетический урон. Боевая автозарядка делает систему полезной в затяжных столкновениях.

Внешний блок заменяет классические пусковые направляющие и позволяет выпустить 2 ракеты Граммофон. Ракета создана как ответ на мобильные корабли Три-Тахион.",,,,
dpl_stdgramophone,WEAPON,"Наводится на двигатели цели и наносит по ним энергетический урон. Боевая автозарядка делает систему полезной в затяжных столкновениях.

Внешний блок заменяет классические пусковые направляющие и позволяет выпустить 8 ракет Граммофон. Стандартная версия обеспечивает хороший баланс урона и длительности боя.",,,,
dpl_hvygramophone,WEAPON,"Наводится на двигатели цели и наносит по ним энергетический урон. Боевая автозарядка делает систему полезной в затяжных столкновениях.

Усиленный внешний блок позволяет выпустить 4 тяжелые ракеты Граммофон, рассчитанные на срыв маневра у крупных целей.",,,,
dpl_plasma_fighter,WEAPON,"Продвинутая оружейная система, созданная для постоянного давления за счет коротких плазменных импульсов.",,,,
dpl_fighter_charge,WEAPON,"Оборонительная система, выпускающая малые фазо-зарядные снаряды с дистанционным взрывателем для максимальной эффективности против истребителей и ракет.",,,,
dpl_hflaser_fighter,WEAPON,Короткоимпульсный высокоинтенсивный фиолетовый лазер с отличной эффективностью против ракет и истребителей. Хорошо подходит в качестве основного оружия малых истребителей.,,,,
dpl_longinus,WEAPON,"Опасное оружие и один из самых разрушительных источников импульсного урона в секторе; корабль должен быть специально спроектирован для его использования.

Последние исследования плазмы в Фазовая лаборатория позволили создать Лонгин как центральный ударный комплекс. Экстремальная энергонагрузка требует усиленной интеграции с энергосетью носителя.",,,,
dpl_gungnir,WEAPON,"Опасное прототипное оружие, отлично создающее постоянное давление: при попаданиях накапливает плазменный потенциал на цели. Корабль должен быть специально спроектирован для его использования.

Gungnir разрабатывался как управляемая альтернатива Лонгин, способная стабильно держать противника под огнем в средних и долгих боях.",,,,
dpl_phase_pd,WEAPON,"Эффективное оружие, использующее дуги молний для уничтожения истребителей и ракет.

фазовая молниевая пушка — переносная система вооружения Фазовая лаборатория. Это развитие ранних молниевых установок с улучшенной стабильностью дуг и более надежным охлаждением.",,,,
dpl_phase_pdair,WEAPON,"Малое оружие, использующее дуги молний для уничтожения истребителей и ракет.

фазовый молниевый излучатель — специальная система Фазовая лаборатория. По сути это миниатюрная версия полноразмерной молниевой пушки для легких платформ.",,,,
dpl_heavy_phase_pd,WEAPON,"Эффективное оружие, использующее дуги молний для уничтожения истребителей и ракет. В своем размере эффективнее большинства альтернативных ПВО-систем.

тяжелая молниевая пушка — усиленная версия базовой молниевой пушки с повышенной плотностью дуг и улучшенным подавлением целей.",,,,
dpl_heavy_pdair,WEAPON,"Малое оружие, использующее дуги молний для уничтожения истребителей и ракет. В своем размере эффективнее большинства альтернативных ПВО-систем.

тяжелый молниевый излучатель — специальная миниатюрная система Фазовая лаборатория с повышенной мощностью для кораблей малого класса.",,,,
dpl_tpl,WEAPON,"Тяжелое энергетическое лучевое орудие инженеров Фазовая лаборатория: термальное импульсное копье встроено прямо в корпус лабораторный Натиск и обеспечивает подавляющую фронтальную огневую мощь.

Орудие проектировалось как встроенный осадный инструмент прорыва боевой линии и требует глубокой интеграции в силовой контур корабля.",,,,
dpl_hdpb,WEAPON,"Импульсное оружие средней дальности для универсальной огневой поддержки. Поскольку основную часть энергии потребляет ускоритель в самом модуле, его можно эффективно ставить и на баллистические узлы.

Система создавалась как доступный по нагрузке вариант для смешанных конфигураций вооружения флота.",,,,
dpl_lightning_lance,WEAPON,"Опасный импульсный луч из заряженных частиц. При попадании электромагнитная энергия из-за нестабильности фазового пространства преобразуется в низкочастотные мотs.

Это оружие стало базой для ряда более поздних экспериментальных молниевых систем Фазовая лаборатория.",,,,
dpl_ltn_projector,WEAPON,"Часто срабатывающий излучатель молниевых дуг, щедро спроектированный для смертоносной работы не только по истребителям и ракетам, но и по малым кораблям.

Lightning Projector — развитие флотской ПВО-линейки Фазовая лаборатория в сторону универсального ближнего подавления.",,,,
dpl_am_cannon,WEAPON,"Выпускает энергетические сгустки по вражеским целям. При высоком уроне и высоких потоковых затратах антиматерийная пушка остается одним из самых смертоносных орудий своего размера.

Надежное энергетическое оружие, применяемое на штурмовых кораблях для быстрого пролома щитов и корпуса.",,,,
dpl_am_cl,WEAPON,"Разворачивает низкоскоростные антиматерийные заряды с впечатляющим радиусом взрыва и способностью прорываться через огонь ПВО. Особенно разрушительно против истребителей, но также эффективно против щитов и корпуса.

Система предназначена для ближнего контроля пространства и разрыва построений противника.",,,,
dpl_trio,WEAPON,"Образцовый пример сочетания гиперфизической теории с гравитонными оружейными технологиями. При попадании луч замедляет цель.

Фазовая лаборатория обнаружил, что концентрированные гравитоны около фазового пространства дают эффект локального инерционного торможения. На этой идее и построена система Trio.",,,,
dpl_gc,WEAPON,"Непереносное оружие, выпускающее молниевые дуги из гравитонов. При попадании замедляет цель.

После успешных полевых испытаний Trio инженеры масштабировали концепцию в тяжелую стационарную систему GC для кораблей крупного класса.",,,,
dpl_plasma_hammer,WEAPON,"Крупное эффективное орудие с приличной дальностью. Хотя урон невысокий, его радиус действия позволяет надежно подавлять более легкие корабли.

плазменный молот — переносная система вооружения для универсальных крейсерских платформ, которым нужна стабильная дальнобойная поддержка.",,,,
dpl_hymn,WEAPON,"Импульсный луч, выдающий сокрушительный урон с каскадным ЭМИ-компонентом. При попадании по щиту дополнительно генерирует нагрузку.

Гимн — зрелая интегрированная система Фазовая лаборатория, предназначенная для пролома обороны тяжелых целей.",,,,
dpl_symphony,WEAPON,"Импульсный луч, выдающий сокрушительный урон с каскадным ЭМИ-компонентом. При попадании по щиту дополнительно генерирует нагрузку.

Симфония — интегрированная оружейная система следующего поколения, адаптированная для более крупных носителей и длительного боя.",,,,
dpl_anthem,WEAPON,"Импульсный луч, выдающий сокрушительный урон с каскадным ЭМИ-компонентом. При попадании по щиту дополнительно генерирует нагрузку.

Хорал — специальная встроенная версия линейки, разработанная для уникальных тяжелых платформ Львиная гвардия.",,,,
dpl_siphon,WEAPON,"Ультимативное оружие, эффективное против любых целей и способное восстанавливать корабль-носитель при попаданиях по корпусу противника.

фазовый сифон — вершина фазовых исследований Фазовая лаборатория, объединяющая разрушение и переработку боевой энергии в реальном времени.",,,,
dpl_hydraulis,SHIP,"Гидравлис — экспериментальный проект Фазовая лаборатория, изначально мобильная лаборатория для генерации различных аномалий в исследовательских целях.

Ее эффективные системы генерации аномалий и усиленные фазовые катушки позже легли в основу целого семейства аномальных носителей.",,,,
dpl_hydraulis_notes,WEAPON,"Особая пусковая установка фазовых аномалий с малым, медленно восполняемым боезапасом; каждый выстрел наносит небольшой урон, но на большой дистанции.

Ноты — одна из самых необычных реализаций фазовой технологии. Фазовая лаборатория рассматривал ее как демонстрацию принципов аномального вооружения.",,,,
dpl_minim,WEAPON,"Особая средняя пусковая установка фазовых аномалий с одним медленно восполняемым выстрелом, обладающим заметным уроном и большой дальностью. Встроена в корпус Гидравлофон для усиления его ударного профиля.",,,,
dpl_quaver,WEAPON,"Особая пусковая установка фазовых аномалий с малым, медленно восполняемым боезапасом; каждый выстрел наносит небольшой урон, но на большой дистанции. Особенно эффективна против брони.

Quaver — развитие ранних аномальных систем, рассчитанное на методичное разрушение защищенных целей.",,,,
dpl_bugle,SHIP,"Горн — коммерческий боевой корабль, разработанный Фазовая лаборатория. Оснащен качественным военным щитом и системой высокой концентрации энергии, что делает его отличным охотником.

Концепция Горн стала отправной точкой для дальнейших серийных фазовых фрегатов.",,,,
dpl_ophicleide,SHIP,"Офиклеид — коммерческий боевой корабль разработки Фазовая лаборатория. После опыта с Горн в лаборатории сделали вывод, что для фрегатов критична маневренность, и создали новый класс под эту задачу.

Корабль сохраняет высокий темп боя и способен быстро менять дистанцию под угрозой.",,,,
dpl_harmonica,SHIP,"Гармоника — первый экспериментальный продукт Фазовая лаборатория, испытательная платформа для изучения дальних мгновенных энергетических переносов через фазовое пространство.

Хотя проект считался рискованным, именно он дал базу для последующих телепортационных систем.",,,,
dpl_piccolo,SHIP,"Пикколо — испытательная платформа для проверки применения фазовой технологии в генерации сфокусированных ЭМИ-волн высокой энергии, подавляющих системы наведения космических кораблей.

Проект показал высокую эффективность поддержки в бою против технологически развитых противников.",,,,
dpl_flute,SHIP,"Флейта — корабль мобильной быстрой ПВО-поддержки. Специально спроектирован для крупного энергетического ПВО-вооружения и оснащен фазовой катушкой для защиты от чрезмерных нагрузок потока.

Флейта часто используется как экран для более тяжелых кораблей флота.",,,,
dpl_elf,SHIP,"Эльф — опасный ракетный фазовый фрегат, созданный флотом Фазовая лаборатория для противодействия «волчьим стаям» Три-Тахион в ходе многолетнего конфликта между Три-Тахион и Фазовая лаборатория.

Корабль сочетает высокую мобильность с разрушительными ракетными заходами.",,,,
dpl_sylph,SHIP,"Сильф — опасный энергетический фазовый фрегат, созданный флотом Фазовая лаборатория для противодействия «волчьим стаям» Три-Тахион в ходе многолетнего конфликта между Три-Тахион и Фазовая лаборатория.

В отличие от Эльф, Сильф делает ставку на устойчивое энергетическое давление.",,,,
dpl_calliope,SHIP,"Каллиопа — коммерческая версия Гидравлис. Система генерации аномалий заменена стандартным ангаром истребителей, а общий ракетный боекомплект увеличен.",,,,
dpl_hydraulophone,SHIP,"Гидравлофон — экспериментальный прототип Фазовая лаборатория, разработанный как крейсер, специализирующийся на применении передовой системы Quaver. Несмотря на изменения по сравнению с базовой концепцией Гидравлис, он сохраняет ярко выраженную аномальную специализацию.

Корабль считается редкой и сложной в обслуживании платформой.",,,,
dpl_pioneer,SHIP,"Проницательность — классический мобильный лабораторный корабль исследовательских флотов Фазовая лаборатория. Имеет часть оружейных узлов для самообороны и ангар для запуска ограниченного числа авиакрыльев в экспедициях.

Проект делал упор на автономность и универсальность в дальних походах.",,,,
dpl_innovator,SHIP,"Дизайн этого корабля остается загадкой, однако из почти пустого флотского журнала следует, что это один из двух прототипов, собранных на лабораторной фабрике в рамках экспериментальной серии.

Платформа содержит набор нестандартных решений, часть которых до сих пор не раскрыта.",,,,
dpl_oboe,SHIP,"Гобой — опасный ударный фазовый эсминец. Оснащен специальной системой, позволяющей фазовыми импульсами срывать вражеские щиты и наносить высокий урон напрямую по корпусу.

Корабль рассчитан на агрессивные короткие заходы и быстрый выход из боя.",,,,
dpl_minelayer,SHIP,"лабораторный минный заградитель — старый проект Фазовая лаборатория, ранее использовавшийся как недорогой системный оборонный корабль с безопасностью, обеспечиваемой фазовыми катушками. Сейчас такие корабли чаще выполняют роли заграждения и контроля пространства.

Несмотря на возраст, конструкция остается практичной.",,,,
dpl_bagpipes,SHIP,"Волынка — испытательная платформа для изучения применения фазовых технологий в генерации плотных гравитонных кластеров, способных сильно замедлять близкие корабли. После успешных тестов концепция легла в основу ряда систем контроля поля боя.

Платформа известна как один из ключевых шагов к тяжелому гравитонному вооружению.",,,,
dpl_enmity,SHIP,"В ответ на враждебность космических сил Три-Тахион инженеры Фазовая лаборатория разработали Вражда — фазовый эсминец с учетом советов и боевого опыта офицеров ВМС Гегемонии.

Проект ориентирован на высокую живучесть и точечное подавление опасных целей.",,,,
dpl_trumpet,SHIP,"Труба — коммерческий боевой корабль, разработанный Фазовая лаборатория. Оснащен качественным военным щитом и надежной системой «фазовая молния».

Фазовая лаборатория проектировал его как основной эсминец линии для универсальных задач флота.",,,,
dpl_flugelhorn,SHIP,"Флюгельгорн — специальный «эскортный эсминец» разработки Фазовая лаборатория. Оснащен особыми плазменными ядрами, способными активно подпитывать энергетическое вооружение и повышать его урон.

Платформа предназначена для сопровождения тяжелых кораблей и быстрого усиления их огневого контакта.",,,,
dpl_flumpet,SHIP,"Флампет — коммерческий боевой корабль разработки Фазовая лаборатория, вариант Труба. У базовой модели убран боевой модуль и вместо него установлены два ангара истребителей.

Эта версия делает упор на гибкость и авиационную поддержку соединения.",,,,
,,,,,,
dpl_cornet,SHIP,"Корнет — специальный «антифазовый» эсминец, разработанный Фазовая лаборатория. Имеет встроенную систему Тремоло и оснащен фазовыми импульсами для борьбы с фазовыми кораблями.

Корабль оптимизирован для охоты на скрытные высокоманевренные цели.",,,,
dpl_whisper,SHIP,"Шепот — специальный эсминец-«охотник», разработанный Фазовая лаборатория для противодействия быстрым пикетам Три-Тахион. Оснащен экспериментальной системой телепортации и заточен под внезапные перехваты.

Шепот эффективен в ролях преследования и добивания.",,,,
,,,,,,
dpl_clarinet,SHIP,"Кларнет — экспериментальный продукт Фазовая лаборатория, испытательная платформа для раскрытия полного потенциала встроенного комплекса «Gungnir» и его специальных эффектов по цели.

Проект требовал глубокой интеграции оружия с энергетическим контуром корпуса.",,,,
dpl_baritone,SHIP,"Баритон — коммерческий боевой корабль разработки Фазовая лаборатория. Его основная роль — взаимодействовать с быстрыми эсминцами флота при захвате стратегически важных позиций и удержании рубежей.

Баланс скорости и огня делает его удобным кораблем среднего эшелона.",,,,
dpl_trombone,SHIP,"Тромбон — коммерческий боевой корабль разработки Фазовая лаборатория. Это отличный флотский авианосец, пока остается позади линии боя, но при сближении противника становится уязвим.

Его применение требует грамотного прикрытия и дистанции.",,,,
dpl_mellophone,SHIP,"Меллофон — коммерческий аномальный авианосец разработки Фазовая лаборатория. Возможно, не самый мощный в своем классе, но определенно доступный и надежный.

Используется как массовая платформа в смешанных оперативных группах.",,,,
dpl_tuba,SHIP,"Туба — коммерческий боевой корабль разработки Фазовая лаборатория. Успех крейсера Аврора у Три-Тахион подтолкнул лабораторию создать собственный конкурентный проект.

Туба сочетает высокую мобильность с устойчивым энергетическим давлением.",,,,
dpl_persean_express,SHIP,"Персейский экспресс — вооруженный грузовой корабль разработки Фазовая лаборатория, полностью свободный от фазовых технологий.

Проект создан после основания Исследовательского объекта V как ответ на потребность в защищенных транспортных линиях между удаленными базами.",,,,
dpl_euphonium,SHIP,"Эуфониум — специальный тяжелый крейсер «анти-истребитель» разработки Фазовая лаборатория. Поддерживает усиленный набор крупных энергетических ПВО-орудий, но за это расплачивается относительно слабой броней.

Корабль рассчитан на сопровождение и прикрытие основных сил.",,,,
dpl_bassoon,SHIP,"Фагот — экспериментальный проект Фазовая лаборатория, материализация концепции оружейной системы «Лонгин». Из-за колоссальной энергонагрузки комплекс требует особой архитектуры корпуса и глубокого охлаждения.

Фагот относится к числу самых сложных в обслуживании боевых платформ флота.",,,,
dpl_tenoroon,SHIP,"Тенорун — превосходный фазовый крейсер, способный эффективно нести крупное энергетическое вооружение. Фазовая лаборатория также оснастил его системой высокой энергии, делая корабль смертельно опасным тихим охотником.

Это одна из самых ценных ударных платформ средней линии.",,,,
dpl_dudelsa,SHIP,"Дудельза — коммерческий проект Фазовая лаборатория, специализирующийся на ракетных атаках. В сочетании с корпусом, броней и фазовыми катушками ее трудно остановить.

Корабль ориентирован на прорыв обороны плотными ракетными залпами.",,,,
dpl_reedpipe,SHIP,"Тростниковая флейта — испытательная платформа для изучения использования фазового резонанса: кратковременное втягивание цели в фазовое пространство ее собственной катушкой ценой резкого роста потока.

Проект стал основой для дальнейших исследований принудительного фазового срыва.",,,,
dpl_nightmare,SHIP,"Как ответ на враждебность космических сил Три-Тахион, инженеры Фазовая лаборатория разработали Кошмар — фазовый крейсер с учетом советов и боевого опыта офицеров ВМС Гегемонии.

Кошмар сочетает высокую огневую мощь с устойчивостью в затяжных боях.",,,,
dpl_lab_transport,SHIP,"Огромный транспортный корабль, чье проектное имя засекречено ВМС Домен людей; в сохранившихся записях он фигурирует как «лабораторный транспорт».

Судно несет инфраструктуру для развертывания удаленных исследовательских и производственных узлов.",,,,
dpl_lion_anthem,SHIP,"Lion Хорал — новая специальная модификация корпуса класса Пегас, разработанная Львиная гвардия и оснащенная экспериментальным встроенным орудием «Хорал».

Даже по меркам элитных программ Diktat этот проект считается крайне амбициозным.",,,,
