id,type,text1,text2,text3,text4,notes
HWI_Stella,WEAPON,"Starstream-DEM - особый вариант стандартной DEM-ракеты. Используя технологии Halo Dynamics, плотный источник материала сжимается внутри боевой части. При попадании он рассеивается потоком обломков и наносит урон. Эти фрагменты слабо угрожают обычной броне, но создают сильные помехи энергетическим контурам и щитовым системам.",,,,
HWI_Stella_Fighter,WEAPON,"Starstream-DEM - особый вариант стандартной DEM-ракеты. Используя технологии Halo Dynamics, плотный источник материала сжимается внутри боевой части. При попадании он рассеивается потоком обломков и наносит урон. Эти фрагменты слабо угрожают обычной броне, но создают сильные помехи энергетическим контурам и щитовым системам.",,,,
HWI_Stardust,WEAPON,"Starstream-DEM - особый вариант стандартной DEM-ракеты. Используя технологии Halo Dynamics, плотный источник материала сжимается внутри боевой части. При попадании он рассеивается потоком обломков и наносит урон. Эти фрагменты слабо угрожают обычной броне, но создают сильные помехи энергетическим контурам и щитовым системам.",,,,
HWI_Astesia,WEAPON,"Starstream-DEM - особый вариант стандартной DEM-ракеты. Используя технологии Halo Dynamics, плотный источник материала сжимается внутри боевой части. При попадании он рассеивается потоком обломков и наносит урон. Эти фрагменты слабо угрожают обычной броне, но создают сильные помехи энергетическим контурам и щитовым системам.",,,,
HWI_AntiAromr,WEAPON,"Resonator испускает струю, нарушающую резонансную частоту брони и снижающую ее эффективность. Из-за ограниченной энергии струи крупным целям проще вернуть исходную частоту, хотя влияние на характеристики брони остается заметным.",,,,
HWI_Disruptor,WEAPON,"Disruptor выпускает наномашины, атакующие энергетические цепи. Поскольку они избегают ключевых компонентов, автоматическим ремонтным системам трудно сразу обнаружить атаку. Департамент науки и технологий написал сложные управляющие программы, заставляющие эти машины мешать работе систем цели.",,,,
HWI_Wingman,WEAPON,"Продукт «Программы автономного перехвата угроз», эта система ПВО отказалась от обычных ударов прошлой модели и использует щитовые дроны, автоматически обнаруживающие и перехватывающие угрозы. Дроны способны перехватывать не только ракеты, но и лучевые атаки.",,,,
HWI_FirstMantitude,WEAPON,"Устройство, испускающее сфокусированный поток материи с применением неизвестной технологии. Технические офицеры не понимают его принцип работы, но ясно одно: устройство превращает энергию в материю, концентрирует ее на конце струи, затем сжимает, воспламеняет, сжигает и подрывает в чрезвычайно малом объеме.","- «Я собираюсь подарить тебе звезду. Звезду, не похожую ни на одну другую.»",,,
HWI_ConquerorCannon,WEAPON,"Тяжелая турбопушка, встроенная в классы Promise и Oath, напрямую соединена с их реакторами. Она направляет часть потоковой энергии в плазменный снаряд, усиливая его мощность и одновременно помогая кораблям обоих классов рассеивать поток.",,,,
HWI_Counter,WEAPON,"Тяжелое оружие ПКО, стреляющее сильно сжатой плазмой. Counter создан для защиты от тяжелых истребителей и плотных ракетных волн, мгновенно очищая широкие зоны от угроз. Частота плазмы заранее настраивается при запуске, чтобы она детонировала в нужный момент.",,,,
HWI_HammerOfHumanity,WEAPON,"Гигантская пушка, связанная с реактором и встроенная вдоль корпуса класса Twilight, способна наносить разрушительные удары по любой цели. Изначально созданная против крупных неподвижных объектов, Twilight задумывался как быстрый осадный корабль, но появление класса Comet изменило его роль.",,,,
HWI_Apocalypse,WEAPON,"Скорострельная корабельная автопушка. Она достаточно хороша для подавления и уничтожения большинства целей в наземных боях, где обычно применяется класс Apocalypse, но не слишком эффективна против брони.",,,,
HSI_Apocalypse_LA,WEAPON,"Запускает обычный снаряд канистровой пушки как гранату. Этот дешевый и надежный взрывной боеприпас требует минимум компонентов и эффективен там, где нужна взрывная огневая мощь.",,,,
HWI_Bury,WEAPON,"Зенитное оружие для малых машин. Эффективное, точное и крайне компактное, но ограниченная огневая мощь снижает его результативность на более крупных платформах.",,,,
HWI_Phenomenon,WEAPON,"Специально разработанный направленный проектор дугового облака. Он запускает нестабильное дуговое облако, постоянно нарушающее работу ближайших врагов. Внутренние цепи класса Papercut рассчитаны на поглощение рассеянной энергии, усиливая общую эффективность корабля.",,,,
HWI_FocusLance,WEAPON,"Необычная фокусирующая конструкция синхронизируется с частотами щитов противника при непрерывной стрельбе, позволяя обходить часть защиты и с ужасающей силой рвать оборону. Военный департамент высоко оценивает эффективность оружия, что редко случается с разработками других департаментов.",,,,
HWI_FlakTF,WEAPON,"Основанное на широко применяемой флак-пушке, это оружие слегка модифицировано для стрельбы более мощными боеприпасами. Ради дешевизны боеприпасы используют таймерный подрыв, избегая необходимости в более сложной кузнице снарядов.",,,,
HWI_Fireworks_S,WEAPON,"Быстрая легкая торпеда, обеспечивающая надежную дальнобойную огневую мощь широкому кругу торпедных кораблей Halo Dynamics. Firework отличается хорошей дальностью, скоростью и боезапасом ценой умеренно возросших требований к месту установки.",,,,
HWI_Fireworks_M,WEAPON,"Быстрая легкая торпеда, обеспечивающая надежную дальнобойную огневую мощь широкому кругу торпедных кораблей Halo Dynamics. Firework отличается хорошей дальностью, скоростью и боезапасом ценой умеренно возросших требований к месту установки.",,,,
HWI_Fireworks_L,WEAPON,"Быстрая легкая торпеда, обеспечивающая надежную дальнобойную огневую мощь широкому кругу торпедных кораблей Halo Dynamics. Firework отличается хорошей дальностью, скоростью и боезапасом ценой умеренно возросших требований к месту установки.",,,,
HSI_DancingButterFly,WEAPON,[УДАЛЕНО],,,,
HWI_Crosswind,WEAPON,"Хотя конструкторы утверждали, что ракетные системы должны наносить взрывной урон и быстро уничтожать врагов, многие капитаны хотели систему для устойчивого ближнего подавления, а не быстро пустеющий ракетный блок. Crosswind создан именно для этой роли.",,,,
HWI_IonLance,WEAPON,"Миниатюрная версия Tachyon Lance. Она не отличается большой мощностью, но сильное нарушение работы систем при попадании сделало ее любимым оружием капитанов малых кораблей.",,,,
HWI_IonLanceM,WEAPON,"Миниатюрная версия Tachyon Lance. Она не отличается большой мощностью, но сильное нарушение работы систем при попадании сделало ее любимым оружием капитанов малых кораблей.",,,,
HWI_mjolnir,WEAPON,"Пушка средней дальности, наносящая высокий продолжительный урон и несущая значительную ЭМИ-нагрузку.",,,,
HWI_lightneedler,WEAPON,"Стреляет очередями мелких флешетт с высоким темпом огня. Несмотря на малый размер, быстро перегружает большинство щитовых проекторов, но обычно слаба против брони. Модификации Оружейной промышленности добавляют дополнительные эффекты.",,,,
HWI_heavyneedler,WEAPON,Двойная установка Light Needler на более тяжелой базе. Эта продвинутая система быстро перегружает щитовые проекторы. Модификации Оружейной промышленности добавляют дополнительные эффекты.,,,,
HWI_irautolance,WEAPON,Эффективное дальнобойное лучевое оружие с высоким импульсным уроном. Лучу не хватает фокусировки для эффективной работы против стандартной корабельной брони. Модификации Оружейной промышленности добавляют дополнительные эффекты.,,,,
HWI_guardian,WEAPON,"Набор малых лазеров, собранных на вращающейся платформе, со встроенным конденсатором для крайне высокого импульсного урона по истребителям и ракетам. Луч недостаточно сфокусирован против стандартной брони. Модификации Оружейной промышленности добавляют дополнительные эффекты.",,,,
HWI_autopulse,WEAPON,"Многочисленные встроенные конденсаторы лежат в основе этого чрезвычайно эффективного, но мощного энергетического оружия. Модификации Оружейной промышленности добавляют дополнительные эффекты.",,,,
HWI_Ragnarok,WEAPON,"Крупное энергетическое оружие огромной мощи, но с ограниченным боезапасом. Его чудовищная огневая сила идет от заранее заряженных антиматериальных боеприпасов в усиленных укладках. Из-за природы боеприпасов перезарядка в бою почти невозможна.",,,,
HWI_Fireworks_Fighter,WEAPON,"Быстрая легкая торпеда, обеспечивающая надежную дальнобойную огневую мощь широкому кругу торпедных кораблей Halo Dynamics. Firework отличается хорошей дальностью, скоростью и боезапасом ценой умеренно возросших требований к месту установки.",,,,
HWI_Standard,WEAPON,Эта подвижная ракета ПКО аналогична применяемым в Duality и способна перехватывать широкий спектр малых целей.,,,,
HSI_Apocalypse_RA,WEAPON,"Лучевой энергетический клинок для уничтожения препятствий на пути, способный разрезать различные усиленные металлические конструкции и укрепления.",,,,
HWI_plasma,WEAPON,"Крупное и загадочное оружие, одно из самых разрушительных средств продолжительного урона в секторе, если корабль-носитель способен справиться с создаваемым потоком.",,,,
HWI_hil,WEAPON,"Дальнобойное лучевое оружие с высоким уроном, часто устанавливаемое на корабли поддержки или суда, которым нужна бюджетная противоброневая мощь.",,,,
HWI_tachyonlance,WEAPON,"Импульсный луч, наносящий огромный урон с каскадным ЭМИ-компонентом. ЭМИ-дуги могут проходить сквозь щиты в зависимости от уровня жесткого потока цели. Модификации Оружейной промышленности делают его совместимым с Meltdown Protocol.",,,,
HWI_phasebeam,WEAPON,"Короткодальнобойный луч малой длительности, наносящий тяжелый импульсный урон. Для лучевого оружия неплохо работает против брони.",,,,
HWI_heavyblaster,WEAPON,"Стреляет энергетическими зарядами. При высоком уроне и больших затратах потока Heavy Blaster остается одним из самых мощных оружий своего размера. Модификации снижают потоковую нагрузку, но также уменьшают мощность.",,,,
HWI_gravitonbeam,WEAPON,"Нетипичное лучевое оружие, крайне эффективное против щитов: дестабилизирует их и повышает получаемый урон из всех источников. Отличается большой дальностью, но слабым уроном по броне.",,,,
HWI_ionbeam,WEAPON,"Дальнобойное оружие поддержки. Ion Beam выпускает все больше нарушающих ЭМИ-дуг сквозь щиты по мере роста жесткого потока цели, но дорого обходится стреляющему кораблю. Модификации делают его совместимым с Meltdown Protocol.",,,,
HWI_mininglaser,WEAPON,"Дешевый утилитарный лазер, жестко настроенный на оборону от ракет и истребителей. Дальнобойный, но ограниченный низкой мощностью.",,,,
HWI_heavyac,WEAPON,"Трехствольная пушка, стреляющая очередью стандартизированных снарядов на средней дальности. Особенно эффективна против щитов. Модификации Оружейной промышленности изменили подачу и отдачу, неожиданно повысив точность.",,,,
HWI_ionpulser,WEAPON,"Усиленная версия Ion Cannon, созданная для большей огневой мощи. Доставляет электромагнитный импульс, быстро выводящий из строя системы и двигатели противника, нанося тяжелый урон и перебрасываясь на соседние модули.",,,,
HSI_Crossbow,WEAPON,"Тяжелая пушка автономной боевой единицы Arbalétrier. Обладает крайне большой дальностью непрямого огня и применяется прежде всего для разрушения укреплений, оставаясь эффективной и при прямых ударах по технике и бронированным целям.",,,,
HSI_Arbaletrier_R,WEAPON,Малое импульсное оружие с сильным подавляющим эффектом. Обычно используется как ближняя оборонительная система автономных боевых единиц Arbalétrier.,,,,
HWI_Thunder,WEAPON,"Запускает ракету, которая при сближении с целью разделяется на восемь сингулярных боевых частей, максимизируя эффективность удара.",,,,
HWI_gauss,WEAPON,"Дальнобойное оружие, предназначенное для перегрузки щитов цели. Тяжелый кинетический снаряд также эффективен против любой брони, кроме самой тяжелой.",,,,
HWI_amblaster,WEAPON,"Медленно стреляющая энергетическая пушка с чрезвычайно высоким уроном, широко используемая Tri-Tachyon и ее партнерами. Признав ее огромную мощь, Оружейная промышленность включила Antimatter Blaster в свою систему модификаций и разработала на его основе более крупные образцы.",,,,
HWI_hveldriver,WEAPON,Специализированное оружие для перегрузки и отключения корабельных систем противника на большой дальности. Выпускаемые им высокоскоростные урановые сплавные сердечники также эффективны против щитов.,,,,
HWI_lightdualac,WEAPON,"Легкое оружие, эффективное на ближней дистанции, любимое капитанами, которым не хватает требований для обслуживания needler-оружия или нравится бросаться в бой. Оружейная промышленность внесла минимальные изменения: улучшать там было почти нечего.",,,,
HWI_heavymauler,WEAPON,"Продвинутая оружейная система для пробивания бронеплит на большой дальности. Имеет низкий устойчивый темп огня, но высокий урон за залп.",,,,
HWI_Thunder_S,WEAPON,"Запускает ракету, разделяющуюся на восемь сингулярных боевых частей при сближении с целью. Взаимное влияние боевых частей ухудшает точность, но, иронично, усиливает отключающие эффекты.",,,,
HWI_Thunder_M,WEAPON,"Пусковая установка с несколькими Thunder MIRV. Легкая конструкция ограничивает доступный боезапас, но делает ее пригодной для установки на меньшие корабли. Благодаря огромной разрушительной мощи Thunder MIRV даже самые бережливые капитаны редко критикуют ее концепцию.",,,,
HWI_TingYu_M,WEAPON,"Медленная тяжелая торпеда против крупных угроз, оснащенная сдерживающей боевой частью, яростно детонирующей при разрушении стабилизационного поля. Чтобы преодолеть сильные помехи поля обычным системам наведения, Оружейная промышленность применила гравиметрическое самонаведение.",,,,
HSI_Dancer_RA,WEAPON,"Сбалансированное плазменное оружие с высоким темпом огня. Нестабильные плазменные снаряды при попадании распадаются, сильно нарушая окружающие энергетические контуры и сигналы связи. Может использовать разные ионные возбуждающие ядра для получения плазмы с разными свойствами.",,,,
HWI_UGB_S,WEAPON,Многоцелевая инерционная бомба. Самое дешевое и старое неуправляемое оружие.,,,,
HWI_Roamer,WEAPON,"Скорострельная автопушка, запускающая микрокавитирующие снаряды. Включена в боевые системы за способность быстро пробивать различные виды защиты. Независимые конденсаторы позволяют обоим стволам стрелять одновременными очередями, но требуют перезарядки между залпами.",,,,
HWI_Liebe,WEAPON,"Массивная оружейная система, прозванная гигантской рельсотронной пушкой. Она превосходит по размеру большинство обычных вооружений и стреляет сверхскоростными снарядами, которые из-за скорости часто принимают за лучи. Перед выстрелом конденсаторы можно перегрузить для повышения мощности.",,,,
HWI_HuoShu,WEAPON,"Производная ракетная система, разработанная после успеха Thunder. Делает ставку на тяжелый одиночный удар и сложное наведение, чтобы поражать ценные цели на большой дистанции.",,,,
HWI_WingMan_Catapult,WEAPON,Катапультная система для запуска автономных дронов прикрытия. Используется для быстрого вывода вспомогательных единиц в нужную точку боя.,,,,
HWI_TingYu_L,WEAPON,Крупная версия тяжелой торпеды TingYu для поражения особо больших целей. Несет мощную сдерживающую боевую часть и использует гравиметрическое самонаведение для работы в условиях сильных помех.,,,,
HWI_Tunnel,WEAPON,"Оружие, создающее кратковременный туннельный эффект для доставки заряда к цели. Нестандартная физика делает его опасным, но сложным в обслуживании.",,,,
HWI_irautolance_Fighter,WEAPON,"Истребительная версия IR Autolance. Компактное дальнобойное лучевое оружие с высоким импульсным уроном, адаптированное для малых платформ.",,,,
HWI_Kraken,WEAPON,"Тяжелая оружейная система с огромной ударной мощью, предназначенная для борьбы с крупными кораблями и плотными построениями.",,,,
HWI_ArcBlaster,WEAPON,"Энергетическое оружие, выпускающее мощные дуговые разряды. Особенно эффективно против скоплений малых целей и плохо защищенных систем.",,,,
,,,,,,
,,,,,,
HSI_Apostle_LA,WEAPON,"Встроенное оружие левой руки Apostle, предназначенное для ближнего боя и расчистки препятствий.",,,,
HSI_Apostle_RA,WEAPON,"Встроенное оружие правой руки Apostle, обеспечивающее тяжелый удар по бронированным целям и укреплениям.",,,,
HSI_DayTimeMG,WEAPON,"Пулеметная система Daylight, обеспечивающая устойчивый огонь по легким целям и поддержку на ближней дистанции.",,,,
,,,,,,
HWI_SkyFire,WEAPON,Оружейная система Skyfire предназначена для поражения целей над линией боя и создания плотного огневого давления на дальности.,,,,
,,,,,,
,,,,,,
#Ships#,,,,,,
HSI_Thor,SHIP,Ударный бомбардировщик с одной ракетой Thunder MIRV. Большая дальность захода и сравнительно высокая скорость позволяют наносить удар с безопасной дистанции и отходить к авианосцу под прикрытием барьеров. Легкий дуговой генератор помогает наносить тяжелый урон истребителям-перехватчикам.,,,,
HSI_Oath,SHIP,"Класс Oath был ранним экспериментом Совета по вооружению крупных кораблей чужеродной технологией. Он показал боевой потенциал далеко выше предшественников и быстро пошел в серию для замены устаревающих Onslaught. Созданный для удержания и продвижения боевой линии, Oath имеет тяжелую броню и большой запас потока ценой сниженного рассеивания.

Во второй крупной модернизации класс получил временные катушки, дающие массивному кораблю короткие периоды тактической маневренности. Эта экспериментальная доработка вскоре стала стандартом и самым известным вариантом класса.

В течение века после Коллапса Oath оставался основой флотов Halo Dynamics, пока его постепенно не начали вытеснять Moonwind, Monsoon и малое число сверхкапитальных кораблей.",,,,
HSI_Apocalyse,SHIP,"Тяжелая автономная боевая единица Apocalypse изначально была мехом Оружейной промышленности для наземной войны. С тяжелым гатлингом и броней корабельного класса она доминирует на поверхности, повергая вражескую пехоту в отчаяние. Три двигателя дают ей достаточную подвижность при планетарных рейдах, абордаже и ограниченных действиях в космосе.

Совет решил, что после небольших изменений мех можно производить прямо с летных палуб, без хранения в грузовых отсеках. Позже Apocalypse адаптировали в LPC для авианосцев; теперь его часто можно увидеть в патрульных флотах. Он способен давить восстания на земле и серьезно вредить малым космическим целям при минимальном риске для персонала.",,,,
HSI_Apocalyse_G,SHIP,"Усиленный огневой вариант Apocalypse, внутренний код «Grenadier». Оснащен двумя трехствольными плечевыми пусковыми установками, стреляющими разрушительными канистровыми взрывателями в передней дуге. Используется прежде всего против техники и сооружений, а также против укрепленных противников на земле. Из-за серьезного сопутствующего ущерба применяется только при снятых ограничениях на огонь.",,,,
HSI_Citadel,SHIP,"Класс Citadel использует вариант системы Entanglement, поскольку стандартная система не могла поддерживать переносимую огневую платформу Camelot. Отказавшись от прочих функций и оставив удаленное развертывание и возврат, Citadel способен проецировать большую часть огневой мощи в любую точку поля боя, удерживая цели или служа якорем флота. Совет классифицирует его как оборонительный линкор, подчеркивая защиту от двойных щитов и ограниченные наступательные возможности.",,,,
HSI_Promise,SHIP,"Класс Promise - наследник Dominator во флотах Halo Dynamics. Как тяжелый крейсер флота, он сохраняет мощные щиты и запас потока, имея более тяжелую броню и прочный корпус, чем стандартные корабли Halo Dynamics. Цена - сниженная маневренность из-за слабых двигателей. Обычно Promise идет в боевой линии рядом с другими кораблями, методично используя бреши, созданные более подвижными судами.",,,,
HSI_Spade,SHIP,"Класс Twilight оснащен тяжелой спинальной пушкой Hammer of Humanity. В остальном он вооружен слабо, поэтому плохо подходит для затяжных перестрелок и полагается на Hammer of Humanity и тактические системы для внезапных всплесков урона. Маневренность Twilight повышает живучесть, но хрупкий корпус плохо переносит урон после падения щитов.",,,,
HSI_DengHuo,SHIP,"Класс Lamplight - специализированный грузовой корабль для опасной среды. Он оснащен новой системой развертывания турелей, благодаря которой не остается полностью беззащитным при встрече с пиратами.",,,,
HSI_Elegy,SHIP,"Класс Elegy чрезвычайно дорог в производстве. Этот корабль поддержки почти лишен обычной огневой мощи, но несет специализированное оборудование, нарушающее подсистемы вражеских судов и фактически калечащее их. Для компенсации слабого вооружения он оснащен все еще засекреченной системой Spirit, позволяющей держаться даже под осадой и таинственным образом усиливать урон по целям.",,,,
HSI_ZhiYuan,SHIP,"Класс Papercut отлично противодействует малым кораблям и оснащен электромагнитным облачным излучателем Phenomenon. Кроме того, уникальная Drift System позволяет ему выполнять временные тактические маневры, используя избыточную энергию электромагнитных облаков Phenomenon.",,,,
HSI_T_01_68,SHIP,"Класс Butterfly. Каждый корабль Департамента L лично курируется Директором, и никакие его тайны не известны за пределами отдела. Этот утонченный и элегантный корабль способен угрожать даже крупнейшим целям сектора.",,,,
HSI_TianGuang,SHIP,"Класс Skylight обладает ужасающей огневой мощью, несоразмерной размеру. Этот темпоральный штурмовой корабль меняет крайне высокие требования к обслуживанию на поразительную боевую силу и особенно хорошо охотится на малые цели.",,,,
HSI_Comet,SHIP,"Класс Comet служит вспомогательным фрегатом во флотах Halo Dynamics. Эти хорошо вооруженные эскорты помогают крупным союзным кораблям держать линию и при необходимости могут вступать в бой с крупными судами.

До ввода Skylight и Mist малый корабельный ряд Halo Dynamics имел серьезный пробел, который закрывали устаревшие доменовские проекты и Comet.",,,,
HSI_Maid,SHIP,Крыло Maid служит легкими единицами поддержки. Эти небольшие дроны обычно дополняют оборону крупных военных кораблей; их единственное заметное преимущество - низкая стоимость.,,,,
HSI_Maid_S,SHIP,"После анализа тактических требований Оружейная промышленность предложила модификацию крыла Maid. Эта легкая платформа доставки способна входить в атмосферу и при оснащении дешевыми инерционными боеприпасами может бомбить цели, когда орбитальная бомбардировка слишком дорога. Так появился Maid-S: простой дрон, который можно быстро производить и заменять.",,,,
HSI_FengYue,SHIP,"Массивный ударный авианосец, способный нести куда больше истребителей, чем любой корабль в истории флота Домена. Помимо огромных ангаров и нанокузниц, Moonwind имеет продвинутую систему управления крыльями. Модули темпоральной манипуляции позволяют выборочно ускорять ангары, оружейные системы или крылья, повышая боевую эффективность. С момента запуска Moonwind стал основой авианосных групп Halo Dynamics.",,,,
HSI_Camelot,SHIP,Тяжелая огневая платформа с огневой мощью капитального корабля. Двойная система щитов делает Camelot почти неприступным. Из-за компактных размеров он может использовать только вспомогательные подсистемы крейсерского класса.,,,,
HSI_Vision,SHIP,"Штурмовой корабль Vision был задуман еще в эпоху Домена как продукт революции «крейсерской школы». Он создан для поддержки ракетным огнем у вражеских оборонительных зон или для доставки разрушительных ударов. Вся носовая часть отдана под хранение и производство ракет, жертвуя обычной фронтальной огневой мощью ради выносливого ракетного потенциала. Перед Пятидесятилетней войной класс получил современные щиты и торпедные автокузницы.",,,,
HSI_Weaver,SHIP,"Класс Weaver - легкий торпедный корабль. Несмотря на несколько крупные размеры, мощные двигатели и хрупкий корпус делают его куда более маневренным, чем кажется. Встроенные производственные мощности позволяют поддерживать непрерывные торпедные удары.",,,,
HSI_ShanYu,SHIP,"Класс Monsoon классифицируется Ship Industry как крейсер, но подсистемы капитального уровня заставляют другие державы спорить с этим. Универсальные конфигурации оружия и высокая маневренность позволяют ему легко справляться с множеством малых врагов. Однако слабая защита и недостаточная для капитального корабля огневая мощь делают Monsoon плохим выбором для передовой.

Как продукт проекта «крупного крейсера», Monsoon больше любого крейсера эпохи Домена, но немного меньше традиционного линейного крейсера. Его система Time Flow позволяет переносить себя в альтернативную временную линию, проецируя огонь обратно в исходную.",,,,
HSI_Qiming,SHIP,"Класс Morningstar - легкий авианосец, обычно используемый как эскорт. Сбалансированное вооружение и IFF-disruptor дают ему исключительную летальность против легких целей.",,,,
HSI_Xianfeng,SHIP,"Класс Northwind разработан в конце Пятидесятилетней войны как флагман и авиаподдержка для средних флотов. По сравнению со старыми авианосцами он имеет более оптимизированную компоновку оружия и может выдавать огневую мощь, близкую к легкому крейсеру, меньшим числом стволов. В проект также заложена повышенная живучесть против ракет за счет системы ПКО Counter.",,,,
HSI_YunYan,SHIP,"Класс Mist - первоклассный тяжелый фрегат, созданный в период роста напряженности с Tri-Tachyon для борьбы с малыми кораблями на этапе расширения. Мощное вооружение позволяет ему держаться даже против специализированных канонерок.",,,,
HSI_Mayfly,SHIP,"Специализированный истребитель поддержки ПКО, обеспечивающий круговую защиту на средней и ближней дистанции. Против других типов врагов неэффективен.",,,,
HSI_Flanker,SHIP,"Истребитель завоевания превосходства в космосе. Этот передовой перехватчик вооружен мощным, но ограниченным тяжелым противоистребительным оружием и возвращается за пополнением после расхода боезапаса, чем отчасти напоминает бомбардировщик.",,,,
HSI_Conquest,SHIP,"Класс Overlord - комплексная модернизация стареющего Conquest. Он получил более тяжелую броню, новую барьерную систему и полную переработку огневой мощи.

Его предшественник, Super Conquest, был заказан Tri-Tachyon как переоборудование с высококлассными щитами и усиленной броней против растущей угрозы авианосцев. После Сагиттарийской гражданской войны Eridani-Utopia Terraforming Corporation встала на сторону Halo Dynamics, и Super Conquest вошел в их флоты. Итоговая модернизация получила имя Overlord.

В новой эпохе войны старые тактики не могли представить, что щиты начнут отставать от копий. Перед подавляющей огневой мощью, похоже, побеждает только еще большая огневая мощь.",,,,
HSI_Eagle,SHIP,"Класс Chrysaetos служит маневренной дальнобойной огневой платформой. Переоборудование барьерными системами мало изменило его тактическую роль; благодаря безупречной структуре и компоновке оружия Chrysaetos, пожалуй, меньше всего изменился при модификации Ship Industry.",,,,
HSI_Aurora,SHIP,"После доведения энергетических барьеров до боевой готовности Aurora быстро попала в список переоборудования. Модернизированный вариант, переименованный в Planet, сохранил знаменитую асимметричную форму Aurora. Хотя многие капитаны считают, что переделка снизила его импульсную мощь, корабль все еще хорошо вооружен и эффективен в бою.",,,,
HSI_Sunder,SHIP,"Эсминец с высокой огневой мощью. Класс Peregrine основан на Sunder, полностью переработанном и введенном во флоты Halo Dynamics под новым именем. Peregrine сохраняет компоновку оружия и систему High Energy Focus при небольших структурных изменениях.",,,,
HSI_Medusa,SHIP,"Продвинутый эсминец на основе Medusa. Он сохраняет большинство исходных ключевых систем, включая Phase Skimmer и почти идентичную компоновку оружия, но класс Coldrain сильно отличается корпусом, измененным для оптимизации пространства после замены щитового генератора.",,,,
HSI_Shrike,SHIP,"Продвинутый легкий эсминец быстрого нападения от той же команды, что создала почти вездесущий Wolf. Двигательная система Strix адаптирована под Plasma Jets вместо Plasma Burn предшественника, что дает легкому эсминцу большую тактическую инициативу.",,,,
HSI_Wolf,SHIP,"Класс Mallet - вариант Brawler, используемый как малый торпедный корабль. Его простая система управления огнем не поддерживает точные управляемые боеприпасы, а рама не выдерживает крупных автозарядников или нанокузниц. В большинстве боев задача Mallet - выпустить торпеды и уйти с поля боя.",,,,
